Title,Author,Genre,Department,Available,Library Location,Library Name,Library Address,Open Time,Close Time,Library Incharge,Contact Email,Contact Phone,Tags
Operating System Concepts,Abraham Silberschatz,Computer Science,Engineering,False,Shelf CS204,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Operating Systems,Concurrency
Inorganic Chemistry,Gary L. Miessler,Chemistry,Sciences,True,Shelf CH305,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Inorganic Chemistry,Coordination Compounds
Differential Equations,Dennis G. Zill,Mathematics,Sciences,True,Shelf MA406,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Calculus,Mathematics
Cognitive Psychology,Daniel Kahneman,Psychology,Social Sciences,True,Shelf PS507,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Cognition,Decision Making
They Say / I Say,Gerald Graff,Writing,Humanities,True,Shelf WR608,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Academic Writing,Argumentation
The History of the World in 100 Objects,Neil MacGregor,History,Humanities,True,Shelf HI709,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,World History,Archaeology
Macroeconomics,N. Gregory Mankiw,Economics,Social Sciences,True,Shelf EC104,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Macroeconomics,Fiscal Policy
Data Structures and Algorithms in Python,Michael T. Goodrich,Computer Science,Engineering,True,Shelf CS205,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Python,Data Structures
Biochemistry,Jeremy M. Berg,Chemistry,Sciences,False,Shelf CH306,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Biochemistry,Molecular Biology
Abstract Algebra,David S. Dummit,Mathematics,Sciences,True,Shelf MA407,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Algebra,Group Theory
Developmental Psychology,Laura E. Berk,Psychology,Social Sciences,True,Shelf PS508,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Child Development,Lifespan
The Chicago Manual of Style,University of Chicago Press,Writing,Humanities,True,Shelf WR609,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Style Guide,Citation
Guns, Germs, and Steel,Jared Diamond,History,Humanities,True,Shelf HI710,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Anthropology,History
International Economics,Paul Krugman,Economics,Social Sciences,True,Shelf EC105,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Trade,Globalization
Database System Concepts,Henry F. Korth,Computer Science,Engineering,True,Shelf CS206,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Databases,SQL
Analytical Chemistry,Douglas A. Skoog,Chemistry,Sciences,True,Shelf CH307,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Analytical Chemistry,Spectroscopy
Complex Analysis,Lars Ahlfors,Mathematics,Sciences,True,Shelf MA408,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Complex Numbers,Functions
Abnormal Psychology,Ronald J. Comer,Psychology,Social Sciences,True,Shelf PS509,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Mental Disorders,Therapy
MLA Handbook,Modern Language Association,Writing,Humanities,True,Shelf WR610,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Citation,Research
A Little History of the World,E.H. Gombrich,History,Humanities,True,Shelf HI711,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,World History,Beginner
Environmental Economics,Charles D. Kolstad,Economics,Social Sciences,True,Shelf EC106,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Environmental Policy,Sustainability
Artificial Intelligence: A Modern Approach,Stuart Russell,Computer Science,Engineering,False,Shelf CS207,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,AI,Machine Learning
Organic Chemistry as a Second Language,David R. Klein,Chemistry,Sciences,True,Shelf CH308,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Organic Chemistry,Study Guide
Probability and Statistics for Engineering and the Sciences,Jay L. Devore,Mathematics,Sciences,True,Shelf MA409,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Probability,Statistics
Research Methods in Psychology,John W. Creswell,Psychology,Social Sciences,True,Shelf PS510,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Research,Methodology
Publication Manual of the American Psychological Association,American Psychological Association,Writing,Humanities,True,Shelf WR611,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,APA Style,Research
The Silk Roads: A New History of the World,Peter Frankopan,History,Humanities,True,Shelf HI712,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Global History,Trade
Principles of Accounting,Jerry J. Weygandt,Accounting,Business,True,Shelf AC801,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Accounting,Finance
Data Communications and Networking,Behrouz A. Forouzan,Computer Science,Engineering,True,Shelf CS208,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Networking,Data Transfer
Quantum Chemistry,Donald A. McQuarrie,Chemistry,Sciences,True,Shelf CH309,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Quantum Mechanics,Chemistry
Discrete Mathematics and Its Applications,Kenneth Rosen,Mathematics,Sciences,True,Shelf MA410,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Discrete Math,Logic
Statistics for the Behavioral Sciences,Frederick J Gravetter,Psychology,Social Sciences,True,Shelf PS511,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Statistics,Social Science
The Craft of Research,Wayne C. Booth,Writing,Humanities,True,Shelf WR612,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Research,Writing
SPQR: A History of Ancient Rome,Mary Beard,History,Humanities,True,Shelf HI713,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Ancient Rome,Classical History
Financial Accounting,Robert Libby,Accounting,Business,True,Shelf AC802,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Financials,Reporting
Computer Organization and Design,David A. Patterson,Computer Science,Engineering,False,Shelf CS209,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Computer Architecture,Hardware
Organic Chemistry,Robert Thornton Morrison,Chemistry,Sciences,True,Shelf CH310,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Organic Chemistry,Reactions
Introduction to Real Analysis,Robert G. Bartle,Mathematics,Sciences,True,Shelf MA411,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Real Analysis,Calculus
Physiological Psychology,Neil R. Carlson,Psychology,Social Sciences,True,Shelf PS512,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Neuroscience,Behavior
Style: Lessons in Clarity and Grace,Joseph M. Williams,Writing,Humanities,True,Shelf WR613,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Writing Style,Clarity
The Decline and Fall of the Roman Empire,Edward Gibbon,History,Humanities,True,Shelf HI714,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Roman History,Empire
Managerial Accounting,Garrison, Accounting,Business,True,Shelf AC803,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Management,Cost Accounting
Compilers: Principles, Techniques, and Tools,Alfred Aho,Computer Science,Engineering,True,Shelf CS210,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Compilers,Programming Languages
General Chemistry,Darrell D. Ebbing,Chemistry,Sciences,True,Shelf CH311,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,General Chemistry,Fundamentals
Topology,James Munkres,Mathematics,Sciences,True,Shelf MA412,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Topology,Geometry
Introduction to Clinical Psychology,Geoffrey P. Kramer,Psychology,Social Sciences,True,Shelf PS513,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Clinical Psychology,Assessment
Elements of Argument,Annette T. Rottenberg,Writing,Humanities,True,Shelf WR614,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Argumentation,Rhetoric
A History of Modern Europe,John Merriman,History,Humanities,True,Shelf HI715,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,European History,Modern Era
Principles of Marketing,Philip Kotler,Marketing,Business,True,Shelf MK901,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Marketing,Strategy
Computer Graphics: Principles and Practice,James D. Foley,Computer Science,Engineering,True,Shelf CS211,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Graphics,Rendering
Environmental Chemistry,Stanley E. Manahan,Chemistry,Sciences,True,Shelf CH312,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Environmental Science,Pollution
Number Theory,David M. Burton,Mathematics,Sciences,True,Shelf MA413,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Number Theory,Integers
Social Psychology,David Myers,Psychology,Social Sciences,True,Shelf PS514,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Social Behavior,Attitudes
The Bedford Handbook,Diana Hacker,Writing,Humanities,True,Shelf WR615,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Grammar,Research
The Guns of August,Barbara W. Tuchman,History,Humanities,True,Shelf HI716,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,WWI,Military History
Organizational Behavior,Stephen P. Robbins,Management,Business,True,Shelf MG1001,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Organizational Studies,Leadership
Software Engineering: A Practitioner's Approach,Roger S. Pressman,Computer Science,Engineering,False,Shelf CS212,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Software Development,Methodologies
Spectrometric Identification of Organic Compounds,Robert M. Silverstein,Chemistry,Sciences,True,Shelf CH313,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Spectroscopy,Organic Chemistry
Introduction to Probability,Joseph K. Blitzstein,Mathematics,Sciences,True,Shelf MA414,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Probability,Statistics
Introduction to Counseling,Jeffrey A. Kottler,Psychology,Social Sciences,True,Shelf PS515,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Counseling,Therapy
The Sense of Style,Steven Pinker,Writing,Humanities,True,Shelf WR616,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Writing,Cognitive Science
A History of the American People,Paul Johnson,History,Humanities,True,Shelf HI717,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,American History,Narrative
Business Ethics,Manuel G. Velasquez,Ethics,Business,True,Shelf BE1101,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Ethics,Corporate Responsibility
Computer Vision: Algorithms and Applications,Richard Szeliski,Computer Science,Engineering,True,Shelf CS213,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Computer Vision,Image Processing
Organic Synthesis,Michael B. Smith,Chemistry,Sciences,True,Shelf CH314,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Organic Synthesis,Reagents
Introduction to Probability Models,Sheldon M. Ross,Mathematics,Sciences,True,Shelf MA415,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Probability,Stochastic Processes
Theories of Personality,Jess Feist,Psychology,Social Sciences,True,Shelf PS516,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Personality,Psychodynamic
The Little Seagull Handbook,Richard Bullock,Writing,Humanities,True,Shelf WR617,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Grammar,Research
The Rise and Fall of the Great Powers,Paul Kennedy,History,Humanities,True,Shelf HI718,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,International Relations,Military History
Operations Management,Jay Heizer,Operations,Business,True,Shelf OM1201,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Operations,Supply Chain
Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma,Computer Science,Engineering,True,Shelf CS214,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Software Design,Object-Oriented
Principles of Instrumental Analysis,Douglas A. Skoog,Chemistry,Sciences,True,Shelf CH315,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Analytical Chemistry,Instrumentation
Mathematical Statistics with Applications,Dennis Wackerly,Mathematics,Sciences,True,Shelf MA416,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Statistics,Mathematical
Health Psychology,Shelley E. Taylor,Psychology,Social Sciences,True,Shelf PS517,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Health,Behavioral Science
Writing for College,Andrea A. Lunsford,Writing,Humanities,True,Shelf WR618,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Academic Writing,Composition
The Age of Revolution: 1789-1848,Eric Hobsbawm,History,Humanities,True,Shelf HI719,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Modern History,Revolutions
Investments,Zvi Bodie,Finance,Business,True,Shelf FI1301,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Investments,Portfolio Management
Distributed Systems: Concepts and Design,George Coulouris,Computer Science,Engineering,True,Shelf CS215,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Distributed Computing,System Design
Organic Chemistry,Jonathan Clayden,Chemistry,Sciences,True,Shelf CH316,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Organic Chemistry,Advanced
Introduction to the Theory of Computation,Michael Sipser,Mathematics,Sciences,True,Shelf MA417,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Computation,Automata Theory
Social Psychology,Myers & Twenge,Psychology,Social Sciences,True,Shelf PS518,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Social Behavior,Attitudes
The Norton Field Guide to Writing,Richard Bullock,Writing,Humanities,True,Shelf WR619,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Writing,Field Guide
The Cold War: A New History,John Lewis Gaddis,History,Humanities,True,Shelf HI720,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Cold War,International Relations
Corporate Finance,Stephen A. Ross,Finance,Business,True,Shelf FI1302,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Corporate Finance,Valuation
Computer Networks,Andrew S. Tanenbaum,Computer Science,Engineering,True,Shelf CS216,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Networking,Protocols
Physical Chemistry: A Molecular Approach,Donald A. McQuarrie,Chemistry,Sciences,True,Shelf CH317,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Physical Chemistry,Quantum Mechanics
Introduction to Mathematical Statistics,Robert V. Hogg,Mathematics,Sciences,True,Shelf MA418,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Statistics,Mathematical
Cognitive Neuroscience,Michael S. Gazzaniga,Psychology,Social Sciences,True,Shelf PS519,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Neuroscience,Cognition
The Elements of Argument,Annette T. Rottenberg,Writing,Humanities,True,Shelf WR620,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Argumentation,Rhetoric
A History of the World,J.M. Roberts,History,Humanities,True,Shelf HI721,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,World History,Comprehensive
Marketing Management,Philip Kotler,Marketing,Business,True,Shelf MK902,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Marketing,Management
Artificial Intelligence: Foundations of Computational Agents,David Poole,Computer Science,Engineering,True,Shelf CS217,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,AI,Agents
Principles of Biochemistry,Lehninger,Chemistry,Sciences,True,Shelf CH318,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Biochemistry,Metabolism
Partial Differential Equations,Lawrence C. Evans,Mathematics,Sciences,True,Shelf MA419,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,PDE,Mathematical Physics
Introduction to Psychology,Rod Plotnik,Psychology,Social Sciences,True,Shelf PS520,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Psychology,Fundamentals
The Craft of Scientific Writing,Michael Alley,Writing,Humanities,True,Shelf WR621,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Scientific Writing,Technical Communication
The Oxford History of the French Revolution,William Doyle,History,Humanities,True,Shelf HI722,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,French Revolution,European History
Financial Management: Theory and Practice,Eugene F. Brigham,Finance,Business,True,Shelf FI1303,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Financial Management,Capital Budgeting
Operating Systems: Internals and Design Principles,William Stallings,Computer Science,Engineering,True,Shelf CS218,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Operating Systems,Kernel
Organic Chemistry,Francis A. Carey,Chemistry,Sciences,True,Shelf CH319,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Organic Chemistry,Nomenclature
Numerical Analysis,Richard L. Burden,Mathematics,Sciences,True,Shelf MA420,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Numerical Methods,Approximation
Social Psychology,Gilovich, Psychology,Social Sciences,True,Shelf PS521,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Social Cognition,Influence
The Only Grammar Book You'll Ever Need,Susan Thurman,Writing,Humanities,True,Shelf WR622,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Grammar,Punctuation
The Holocaust: A New History,Laurence Rees,History,Humanities,True,Shelf HI723,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Holocaust,WWII
Strategic Management,Fred R. David,Strategy,Business,True,Shelf ST1401,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Strategy,Business Planning
